Name;Company;Location;Technologies;Salary Low;Salary High;Currency;Salary_avg;Country;Senior;Pozice
 mid sql data analyst ;Ośrodek Przetwarzania Informacji - Państwowy Instytut Badawczy;warsaw;Data  SQL  pandas  Python;8000.0;10000.0;PLN;9000.0;PL;0;analyst
 data analyst ;Ferrosan Medical Devices;szczecin;Data  Python  Degree  Data science;14000.0;24000.0;PLN;19000.0;PL;0;analyst
 data analyst ;Volvo Group;wrocław;Data  SQL  Azure  Power BI;12000.0;18000.0;PLN;15000.0;PL;0;analyst
 qa/ data analyst ;AVENGA;wrocław;Testing  SQL  QlikView  PySpark;16800.0;20000.0;PLN;18400.0;PL;0;analyst
 data analyst ;Cognitum Services SA;warsaw;Data  AWS  SQL  Data analysis;17000.0;23000.0;PLN;20000.0;PL;0;analyst
 data engineer in microsoft azure cloud ;Avanade Poland;remote;Data  Data analyst  Python  Azure;19320.0;29400.0;PLN;24360.0;N/A;0;engineer
 senior technical project manager ;RTB House;remote;Project Manager  Data analyst  Project management;27000.0;35000.0;PLN;31000.0;N/A;1;0
 senior data scientist ;Link Group;gdynia;Data  Python  Hadoop  Machine learning;17000.0;22000.0;PLN;19500.0;PL;1;scientist
 senior bi data engineer ;1dea;remote;Data  SQL  BI  DWH;28560.0;35280.0;PLN;31920.0;N/A;1;engineer
 senior data engineer ;Craft.co;remote;Data  Python  Data engineering  SQL;28000.0;34000.0;PLN;31000.0;N/A;1;engineer
 senior technical project manager ;Crestt;remote;Project Manager  Switches  LAN  WAN;18480.0;23520.0;PLN;21000.0;N/A;1;0
 lead data engineer ;Sunscrapers;remote;Data  Python  SQL  Data warehouses;30000.0;40000.0;PLN;35000.0;N/A;0;engineer
 senior pl/sql developer ;AVENGA;warsaw;Data  SQL  Oracle  Jira;18480.0;23520.0;PLN;21000.0;PL;1;0
 senior data engineer - remote ;Link Group;remote;Data  Azure  Python  SQL;20000.0;28000.0;PLN;24000.0;N/A;1;engineer
 senior data engineer etl + python ;1dea;remote;Data  Python  ETL  Cloud;27720.0;31080.0;PLN;29400.0;N/A;1;engineer
 senior data engineer - remote ;Link Group;remote;Data  Python  ELT  ETL;23520.0;26880.0;PLN;25200.0;N/A;1;engineer
 data engineer ;Tooploox;remote;Data  SQL  Snowflake  BigQuery;15000.0;18000.0;PLN;16500.0;N/A;0;engineer
 senior data engineer / data architect - remote ;Link Group;remote;Data  Python  Big data  Hadoop;28560.0;33600.0;PLN;31080.0;N/A;1;engineer
 database administrator ;Amelco UK Ltd.;warsaw;Data  SQL  PostgreSQL  K8s;18900.0;25200.0;PLN;22050.0;PL;0;0
 senior data architect – supply chain analytics  ;Digital Hub Warsaw at Bayer;warsaw;Data  Python  Degree  Data engineering;20000.0;28500.0;PLN;24250.0;PL;1;0
 senior data solution architect/ data architect ;Altimetrik Poland;remote;Data  Python  ETL  Azure;27000.0;37000.0;PLN;32000.0;N/A;1;0
 ms data engineer azure data factory ;1dea;remote;Data  Python  Azure Data Factory  SQL;27720.0;31920.0;PLN;29820.0;N/A;0;engineer
 senior data engineer (finance team) ;Falck Digital Technology Poland Sp. z o.o.;warsaw;Data  SQL  Azure  Python;20000.0;25000.0;PLN;22500.0;PL;1;engineer
 senior dev in machine learning - z j. niemieckim ;dmTECH;remote;Data  GCP  CI  Clean Code;15120.0;28896.0;PLN;22008.0;N/A;1;0
 senior data engineer ;Avenga;remote;Data  Kafka  Degree  MySQL;21840.0;26880.0;PLN;24360.0;N/A;1;engineer
 mid data & ai engineer fully remote ;Nest Bank;remote;Data  Python  Big data  AI;15000.0;22000.0;PLN;18500.0;N/A;0;engineer
 senior technical project manager ;Tangent;poznań;Project Manager  Project management  Jira  Confluence;18000.0;26000.0;PLN;22000.0;PL;1;0
 sql developer ;Link Group;warsaw;Data  SQL  T-SQL  ETL;16800.0;21840.0;PLN;19320.0;PL;0;0
 data engineer with cloud ;GFT Poland;poznań;Data  Python  Dataproc for Spark  Dataflow for Apache Beam;19320.0;26376.0;PLN;22848.0;PL;0;engineer
 senior snowflake developer ;AVENGA;remote;Data  SQL  Data modeling  ETL;23520.0;26880.0;PLN;25200.0;N/A;1;0
 azure data engineer - remote ;Link Group;remote;Data  Azure  CI  Data Lake;18500.0;24500.0;PLN;21500.0;N/A;0;engineer
 mid/senior qa automation engineer ;Travelplanet.pl SA (Invia Group);wrocław;Testing  Playwright  QA  Automated testing;16000.0;21000.0;PLN;18500.0;PL;1;engineer
 apex developer ;AVENGA;remote;Data  SQL  Oracle  Apex;26880.0;28560.0;PLN;27720.0;N/A;0;0
 data scientist  ;Avenga;remote;Data  Computer vision  NLP  SQL;25200.0;28560.0;PLN;26880.0;N/A;0;scientist
 technical project manager ;Devire;tczew;Project Manager  Communication skills  Project management  Polish;17000.0;20000.0;PLN;18500.0;PL;0;0
 data solutions architect  ;Link Group;remote;Data  Data analytics  Data analysis  Power Curve;25200.0;30240.0;PLN;27720.0;N/A;0;0
 senior data scientist ;Adform Sp. z o.o.;warsaw;Data  Machine learning  Analytical skills  Python;22400.0;28823.0;PLN;25611.5;PL;1;scientist
 professional data engineer ;AVENGA;remote;Data  Snowflake  ETL  Python;21840.0;24360.0;PLN;23100.0;N/A;0;engineer
 senior data engineer ;AVENGA;remote;Data  Python  SQL  Snowflake;23520.0;26880.0;PLN;25200.0;N/A;1;engineer
 mid data modeller - remote ;Link Group;remote;Data  SQL  English;20160.0;25200.0;PLN;22680.0;N/A;0;0
 senior data engineer - remote  ;Link Group;remote;Data  SQL  dbt  Databricks;23000.0;25200.0;PLN;24100.0;N/A;1;engineer
 senior data modeller ;AVENGA;gdańsk;Data  SQL  Data modelling  Data structures;25200.0;28560.0;PLN;26880.0;PL;1;0
