Name,Company,Location,Technologies,Salary Low,Salary High,Currency
 Mid SQL Data Analyst ,Ośrodek Przetwarzania Informacji - Państwowy Instytut Badawczy,Warszawa,Data  SQL  pandas  Python,8000,10000,PLN
 Data Analyst ,Ferrosan Medical Devices,Szczecin,Data  Python  Degree  Data science,14000,24000,PLN
 Data Analyst ,Volvo Group,Wrocław,Data  SQL  Azure  Power BI,12000,18000,PLN
 QA/ Data Analyst ,AVENGA,Wrocław,Testing  SQL  QlikView  PySpark,16800,20000,PLN
 Data Analyst ,Cognitum Services SA,Warszawa,Data  AWS  SQL  Data analysis,17000,23000,PLN
 Data Engineer in Microsoft Azure Cloud ,Avanade Poland,Remote,Data  Data analyst  Python  Azure,19320,29400,PLN
 Senior Technical Project Manager ,RTB House,Remote,Project Manager  Data analyst  Project management,27000,35000,PLN
 Data Analyst ,Schneider Electric,Warsaw,Data  Python  SQL  Tableau,,,
 Data & Management Information Reporting Analyst ,IPF Digital,Warszawa,Data  SQL  Data analysis  Data analytics,,,
 .Net with PowerBI Engineer ,Capco Poland,Remote,Data  Data analyst  .NET  Power Query/Power BI,,,
 Remote Senior Data Engineer ,Varwise,Remote,Data  Scala  Spark  AWS,7500,10000,USD
 Senior Data Scientist ,Link Group,Gdynia,Data  Python  Hadoop  Machine learning,17000,22000,PLN
 Senior BI Data Engineer ,1dea,Remote,Data  SQL  BI  DWH,28560,35280,PLN
 Senior Data Engineer ,Craft.co,Remote,Data  Python  Data engineering  SQL,28000,34000,PLN
 Senior Technical Project Manager ,Crestt,Remote,Project Manager  Switches  LAN  WAN,18480,23520,PLN
 Lead Data Engineer ,Sunscrapers,Remote,Data  Python  SQL  Data warehouses,30000,40000,PLN
 Senior PL/SQL Developer ,AVENGA,Warszawa,Data  SQL  Oracle  Jira,18480,23520,PLN
 Senior Data Engineer - Remote ,Link Group,Remote,Data  Azure  Python  SQL,20000,28000,PLN
 Senior Data Engineer ETL + Python ,1dea,Remote,Data  Python  ETL  Cloud,27720,31080,PLN
 Senior QA Automation Engineering ,Trustshoring.com,Wroclaw,Testing  .NET  QA Engineer  API testing,,,
 Senior Data Engineer - Remote ,Link Group,Remote,Data  Python  ELT  ETL,23520,26880,PLN
 Data Engineer ,Tooploox,Remote,Data  SQL  Snowflake  BigQuery,15000,18000,PLN
 Senior Data Engineer / Data Architect - Remote ,Link Group,Remote,Data  Python  Big data  Hadoop,28560,33600,PLN
 Database Administrator ,Amelco UK Ltd.,Warsaw,Data  SQL  PostgreSQL  K8s,18900,25200,PLN
 Technical Project Manager ,Keymakr,Remote,Project Manager  Project management  CAN  MS Teams,1000,2000,USD
 Senior Data Architect – Supply Chain Analytics  ,Digital Hub Warsaw at Bayer,Warsaw,Data  Python  Degree  Data engineering,20000,28500,PLN
 Oracle/SQL Developer ,T-Mobile Polska,Warszawa,Data  SQL  Oracle  MSSQL,,,
 Senior Data Solution Architect/ Data Architect ,Altimetrik Poland,Remote,Data  Python  ETL  Azure,27000,37000,PLN
 Ms Data Engineer Azure Data Factory ,1dea,Remote,Data  Python  Azure Data Factory  SQL,27720,31920,PLN
 QA Engineer ,Synebo,Remote,Testing  Salesforce  QA  English,,,
 Senior Data Engineer (Finance Team) ,Falck Digital Technology Poland Sp. z o.o.,Warsaw,Data  SQL  Azure  Python,20000,25000,PLN
 Senior Dev in Machine Learning - z j. niemieckim ,dmTECH,Remote,Data  GCP  CI  Clean Code,15120,28896,PLN
 Senior Data Engineer ,Avenga,Remote,Data  Kafka  Degree  MySQL,21840,26880,PLN
 Mid Data & AI Engineer FULLY REMOTE ,Nest Bank,Remote,Data  Python  Big data  AI,15000,22000,PLN
 Senior Technical Project Manager ,Tangent,Poznań,Project Manager  Project management  Jira  Confluence,18000,26000,PLN
 SQL Developer ,Link Group,Warsaw,Data  SQL  T-SQL  ETL,16800,21840,PLN
